Document,Questions,Clasificacion
202000000000741.pdf,"¿Cuál es la función principal de la Oficina de Planeamiento, Presupuesto y Modernización según el Artículo 23° del Reglamento de Organización y Funciones del INAIGEM?",General
202000000000741.pdf,¿Qué establece el numeral 7.2 de la Guía para el Planeamiento Institucional del CEPLAN respecto a la evaluación de implementación?,General
202000000000741.pdf,¿Con qué periodicidad deben elaborarse los informes de evaluación de implementación según el documento?,General
20200000000075.pdf,¿Cuál es el número de cuenta CCI del Banco de Crédito del Perú que aparece en la carta de autorización fechada el 31 de julio de 2020?,General
20200000000075.pdf,¿A qué institución está dirigida la carta de autorización de abono en cuenta CCI emitida en Huaraz?,General
20200000000075.pdf,¿En qué fecha el INAIGEM invitó a cotizar el Servicio de Seguridad y vigilancia particular para su Sede Administrativa?,General
20200000000075.pdf,¿Cuál es el número de Orden de Servicio mencionado en el informe para iniciar el Servicio de Seguridad y vigilancia particular?,General
202000000000751.pdf,¿En qué dirección se realizará el servicio según la orden de servicio N°S000095?,General
202000000000751.pdf,¿Cuál es el número de RUC del señor Moscoso Gutierrez Roberto según la orden de servicio N°S000095?,General
202000000000752.pdf,¿En qué dirección está domiciliado el Instituto Nacional de Investigación en Glaciares y Ecosistemas de Montaña según el recibo?,General
20200000000076.pdf,"¿Quién es el jefe de la Oficina de Planeamiento, Presupuesto y Modernización que firma el documento sobre la evaluación del POI 2020?",General
20200000000077.pdf,¿Cuál es el número de orden de servicio mencionado en la carta N° 06-2020-BE/RA?,General
20200000000077.pdf,¿Qué documentos se adjuntan según la carta dirigida al Instituto Nacional de Investigación en Glaciares y Ecosistemas de Montaña?,General
202000000000771.pdf,¿Cuál es la dirección exacta del destinatario INAIGEM según la orden de servicio N°S000103?,General
202000000000771.pdf,¿En qué dirección se encuentra ubicado el local institucional donde se realizarán los servicios según la orden de servicio?,General
202000000000772.pdf,¿Cuál es el número de cuenta CCI del Banco Scotiabank que aparece en la carta de autorización del 31 de julio de 2020?,General
202000000000772.pdf,¿Cuál es el número de RUC asociado al DNI que aparece en la carta de autorización dirigida al INAIGEM?,General
202000000000774.pdf,¿Qué medidas de bioseguridad se toman en cuenta para el rociado de alcohol en las paredes y mesa según las observaciones del documento?,General
202000000000774.pdf,¿Cuál es el número de orden de servicio mencionado en las conclusiones del documento?,General
202000000000775.pdf,¿Cuál es la dirección del domicilio indicado en el recibo para el Instituto Nacional de Investigación en Glaciares y Ecosistemas de Montaña?,General
202000000000776.pdf,¿Qué áreas específicas fueron limpiadas en la Oficina de la Presidencia según las actividades desarrolladas durante la prestación del servicio?,General
202000000000777.pdf,¿Cuál es la fecha de presentación del formulario 1609 para suspensiones de 4ta categoría según el documento?,General
202000000000777.pdf,¿Cuál es el número de expediente mostrado en el resultado de solicitud SUNAT del año 2020?,General
20200000000078.pdf,¿Cuál es el monto en soles indicado para la contratación de servicios de laboratorio para el análisis de caracterización de 17 muestras de suelo?,General
202000000000781.pdf,¿Cuál es el número de documento de certificación presupuestaria emitido por INAIGEM el 30/07/2020?,General
202000000000783.pdf,¿Cuál es el número de ensayos requeridos para el resultado de análisis de suelo de caracterización según la tabla del documento?,General
202000000000783.pdf,¿Qué documentos específicos debe tener habilitados el proveedor según los requisitos establecidos en el punto 6.1?,General
202000000000783.pdf,¿Cuántas muestras de suelo se solicitan analizar según el informe N° 044-2020-INAIGEM/PE-DIEM?,General
202000000000783.pdf,¿En qué fecha y ciudad fue emitido el informe solicitando la contratación de servicios de laboratorio?,General
202000000000785.pdf,¿Cuál es el plazo máximo de recepción de cotizaciones según el documento?,General
202000000000785.pdf,¿Cuántas muestras de suelo se requieren analizar según la solicitud de cotización?,General
202000000000786.pdf,¿Cuál es el precio unitario por muestra de análisis según la cotización N°247 de FDA?,General
202000000000786.pdf,¿Cuál es el número de cuenta del Banco de Crédito del Perú indicado en el documento para realizar el depósito?,General
202000000000786.pdf,¿Cuál es el horario de recepción de muestras en el laboratorio según el correo?,General
202000000000786.pdf,¿A qué correo electrónico se debe enviar el depósito o transferencia según las instrucciones del documento?,General
202000000000787.pdf,¿Cuál es el precio unitario del análisis de Materia Orgánica según la proforma de servicio?,General
202000000000787.pdf,¿Cuál es el correo electrónico del cliente que aparece en la proforma de servicio de ALAB?,General
202000000000787.pdf,¿Cuál es el número de RUC de ANALYTICAL LABORATORY E.I.R.L. según la declaración jurada?,General
202000000000787.pdf,¿En qué fecha fue firmada la declaración jurada del proveedor en el Callao?,General
202000000000788.pdf,¿Cuál es el plazo de entrega establecido para el proveedor seleccionado según el cuadro comparativo?,General
202000000000789.pdf,¿Cuántas muestras de suelo se solicitan analizar en la cotización de servicio de laboratorio?,General
202000000000789.pdf,¿Quién es la persona en copia (CC) en el correo electrónico sobre la cotización de servicio de laboratorio?,General
202000000000791.pdf,¿Cuál es el número de certificado que aparece en la nota de ingreso almacén C000030?,General
202000000000791.pdf,"¿Cuál es el precio unitario del monitor pantalla LCD con retroiluminación LED 27.0"" según la nota de ingreso?",General
202000000000792.pdf,"¿Cuál es el valor unitario del monitor pantalla LCD con retroiluminación LED de 21.5"" solicitado en el pedido?",General
202000000000792.pdf,¿Quién es el director de la dependencia solicitante según el documento de pedido comprobante de salida?,General
202000000000793.pdf,¿Cuál fue el número de orden de compra emitida para la Distribuidora Punto Informático S.A.C en julio de 2020?,General
202000000000793.pdf,¿Cuál es el modelo y tamaño específico de los monitores Samsung adquiridos según el documento de conformidad de bienes?,General
202000000000811.pdf,¿Cuál es el valor unitario de la computadora de escritorio solicitada en el pedido comprobante de salida C000032?,General
202000000000811.pdf,¿Quién es el director de la Dirección de Información y Gestión del Conocimiento según el pedido comprobante de salida?,General
202000000000812.pdf,¿Cuál fue el plazo de entrega de los bienes establecido en el formato de conformidad para la Orden de Compra N°C000032?,General
202000000000813.pdf,¿Cuál es el número de certificado que aparece en la nota de ingreso almacén C000032?,General
202000000000814.pdf,¿Cuál es el número de certificado que aparece en la nota de ingreso almacén C000032?,General
202000000000831.pdf,¿En qué fecha se emitió la orden de compra para la licencia de nube según el documento de conformidad de bienes?,General
202000000000832.pdf,¿Cuál es la dirección del proveedor IT ERA PERU SAC según la nota de ingreso?,General
202000000000832.pdf,¿Cuál es el número de RUC del proveedor IT ERA PERU SAC?,General
202000000000832.pdf,¿Cuál es la dirección indicada en la nota de ingreso almacén con número C000022?,General
202000000000833.pdf,¿Cuál es el valor total del pedido de licencia de nube para el módulo de gestión documental AIDD-INAIGEM?,General
202000000000833.pdf,¿En qué fecha y lugar se realizó el pedido comprobante de salida con código P000022?,General
202000000000841.pdf,¿Cuál es el número de documento de certificación presupuestaria emitido por INAIGEM el 30/07/2020?,General
202000000000841.pdf,¿Qué servicios específicos están incluidos en la meta FF 98 OOTIG SO SGO GDESPO bajo el código 23.2.7.11.99?,General
2020000000008410.pdf,¿Cuál es el plazo de prestación del servicio para el proveedor Servicios Analíticos Generales SAC?,General
202000000000842.pdf,¿Quién es el Especialista Responsable de Logística que firma el documento con fecha 26 de julio del 2020 en Huaraz?,General
202000000000843.pdf,¿Cuántas muestras de suelo y plantas se solicitan para el servicio de digestión ácida y decoloración según el documento?,General
202000000000844.pdf,¿En qué quebrada se realizó el muestreo experimental de suelos y plantas altoandinas según el informe?,General
202000000000844.pdf,¿Cuál es el clasificador presupuestal indicado en la Acción Presupuestal del informe?,General
202000000000845.pdf,¿Cuál es el plazo establecido para la entrega de resultados de laboratorio después de recibir las muestras?,General
202000000000845.pdf,¿Qué documentos o registros específicos debe tener habilitados el proveedor según los requisitos establecidos?,General
202000000000845.pdf,¿Qué entidad tiene el derecho de resolver automáticamente el contrato según la cláusula anticorrupción?,General
202000000000845.pdf,¿Qué debe hacer el Proveedor durante la ejecución del contrato según la cláusula anticorrupción respecto a actos ilegales o de corrupción?,General
202000000000846.pdf,¿Cuál es el plazo de recepción de cotizaciones establecido para el servicio de laboratorio solicitado por INAIGEM?,General
202000000000846.pdf,¿Qué documentos adjuntos se incluyen en el correo y cuál es el tamaño en KB del archivo MODELO CARTA DE AUTORIZA CCI?,General
202000000000849.pdf,¿Cuántas muestras de suelo y plantas se solicitan para el servicio de digestión ácida y decoloración?,General
202000000000849.pdf,¿Por qué se decidió continuar el trámite con MINLAB según el correo electrónico?,General
202000000000851.pdf,¿Cuál es el número de orden de compra mencionado en el documento de conformidad de bienes del 29/07/2020?,General
202000000000852.pdf,¿Cuál es el número de certificado que aparece en la nota de ingreso almacén C000030?,General
202000000000852.pdf,¿Cuál es la dirección del proveedor Distribuidora Punto Informático S.A.C. según la nota de ingreso?,General
202000000000853.pdf,¿Cuál es el valor unitario del monitor pantalla LCD con retroiluminación LED solicitado en el pedido P000025?,General
202000000000853.pdf,¿Quién es el destinatario y cuál es su cargo según el comprobante de salida con fecha 21/07/2020?,General
202000000000854.pdf,"¿Cuál es el valor unitario del monitor pantalla LCD con retroiluminación LED de 21.5"" solicitado en el pedido P000025?",General
202000000000854.pdf,¿Quién es el destinatario del pedido comprobante de salida emitido por la Dirección de Información y Gestión del Conocimiento?,General
202000000000871r.pdf,"¿Qué decreto legislativo señala que el Gobierno Digital comprende el conjunto de principios, políticas y procedimientos para la digitalización de procesos y datos?",General
202000000000871r.pdf,"¿Según el artículo 30.3 de la Ley 27444, qué validez legal tienen las firmas digitales y documentos generados a través de tecnologías y medios electrónicos?",General
202000000000871r.pdf,¿Cuál es el número y fecha exacta de la Resolución de Gerencia General de INAIGEM que trata sobre el certificado y firma digital?,General
202000000000871r.pdf,¿Qué ley específica crea el Instituto Nacional de Investigación en Glaciares y Ecosistemas de Montaña como organismo técnico especializado adscrito al Ministerio del Ambiente?,General
20200000000093.pdf,¿Cuál es el monto en soles aprobado para la certificación presupuestal CCP N° 332-2020 para la recopilación de información cartográfica geológica-geotécnica preliminar?,General
20200000000093.pdf,¿Qué unidades hidrográficas se mencionan en el documento para realizar el estudio cartográfico geológico-geotécnico preliminar?,General
202000000000932.pdf,¿Quién es el especialista responsable de logística que firma el documento con fecha 27 de julio del 2020?,General
202000000000933.pdf,¿Quién es el Jefe de la ODMRC en Lima según el informe N° 016-2020-INAIGEM/ODMRC/RVH?,General
202000000000933.pdf,¿Cuál es el código de clasificación indicado en la tabla para la tarea de recopilación de información y propuesta de actividades?,General
202000000000934.pdf,¿Cuál es la escala del cartografiado geológico-geotécnico final que se debe entregar para las subcuencas Shullcas y Río Blanco?,General
202000000000934.pdf,¿Qué nivel de conocimiento se requiere en AutoCAD según los requisitos de capacitación del proveedor?,General
202000000000934.pdf,¿Cuál es el plazo máximo de responsabilidad del proveedor por la calidad ofrecida y vicios ocultos de los servicios prestados?,General
202000000000934.pdf,¿Qué entidad tiene el derecho de resolver automáticamente el contrato si se incumplen las obligaciones establecidas en la cláusula anticorrupción?,General
202000000000935.pdf,¿Cuál es el plazo máximo de recepción de cotizaciones según el documento?,General
202000000000935.pdf,¿Qué documentos debe contener la cotización respecto a la autorización del CCI y la declaración jurada?,General
202000000000936.pdf,¿Cuáles son las dos unidades hidrográficas mencionadas en la solicitud de cartografiado geológico-geotécnico preliminar?,General
202000000000936.pdf,¿Cuántos archivos adjuntos fueron enviados en total en este correo electrónico del 24 de julio de 2020?,General
20200000000094.pdf,¿Cuál es el número de DNI de Mery Liliana Lino Cerna?,General
20200000000094.pdf,¿Según qué Orden de Servicio se cumplieron las actividades asignadas?,General
20200000000094.pdf,¿Cuál es el monto del segundo pago establecido en la orden de servicio S000101 correspondiente al mes de junio 2020?,General
20200000000094.pdf,"¿Cuál es la dirección exacta del lugar donde se realizará el servicio de aseo, desinfección y salubridad según la orden de servicio?",General
20200000000095.pdf,¿Cuál es el asunto del documento dirigido a José Alfredo Herrera Quispe?,General
20200000000095.pdf,¿Qué documento se menciona como referencia en el memorando?,General
20200000000097.pdf,¿Cuál es el nombre de la especialista en Biología que trabaja en la Oficina Desconcentrada Macro Región Sur - Cusco?,General
20200000000097.pdf,"¿Qué número de teléfono corresponde a la sede ubicada en Av. Prolongación Túpac Amaru A-2 Ute. Miraflores, Wanchaq - Cusco?",General
20200000000097.pdf,¿Qué número de RUC corresponde al proveedor Joshua Jonathan Castro Camacho según el detalle del servicio?,General
202000000000971.pdf,¿Cuál es el monto contratado para el servicio de elaboración de mapas y gestión de datos de la cuenca Huari Huari según el formato de conformidad?,General
202000000000971.pdf,¿Qué área usuaria otorga la conformidad del servicio según el documento con fecha de emisión 31/07/2020?,General
20200000000097115827690.pdf,¿Cuál es el monto contratado para el servicio de elaboración de mapas y gestión de datos de la cuenca Huari Huari según el formato de conformidad?,General
20200000000097115827690.pdf,"¿En qué fecha se emitió la orden de servicio para la elaboración de mapas de la cuenca Huari Huari, cordillera Apolobamba?",General
20200000000104.pdf,¿Cuál es el monto exacto de la Certificación Presupuestal CCP N° 167-2020 que fue anulada para la adquisición de una computadora portátil?,General
20200000000104.pdf,¿Qué número de memorándum se menciona como referencia en el documento sobre la anulación de la certificación presupuestal?,General
202000000001041.pdf,¿Quién es el remitente del informe N° 00294-2020-INAIGEM/GG-OADM-LOG dirigido al Jefe de la Oficina de Administración?,General
202000000001042.pdf,¿En qué fecha fue emitido el memorándum desde Huaraz relacionado con la cancelación del requerimiento de una laptop?,General
202000000001043.pdf,¿En qué fecha fue emitido el informe que solicita la adquisición de una laptop para fortalecer las actividades de investigación sobre análisis de vulnerabilidad en Ancash y Puno?,General
202000000001043.pdf,¿Cuál es el número de registro del documento de INAIGEM fechado el 13 de enero de 2020?,General
202000000001043.pdf,¿Qué área de origen emitió la hoja de trámite que solicita la adquisición de una laptop?,General
202000000001051.pdf,¿En qué fecha se realizó la formalización de la notificación al Proveedor según el documento de conformidad de bienes?,General
202000000001052.pdf,¿Cuál es el número de certificado que aparece en la nota de ingreso almacén C000032?,General
202000000001052.pdf,¿Cuál es la dirección del proveedor DORADO BACA RICHARD BALTAZAR según la nota de ingreso?,General
202000000001053.pdf,¿Cuál es el valor unitario de la computadora de escritorio solicitada en el pedido comprobante de salida C000032?,General
202000000001053.pdf,¿Quién es el director de la Dirección de Información y Gestión del Conocimiento según el pedido comprobante P000026?,General
202000000001093.pdf,¿Cuál es el número de memorando múltiple mencionado en la referencia del documento?,General
202000000001093.pdf,¿En qué fecha fue emitido el memorando desde la ciudad de Huaraz?,General
202000000001096.pdf,¿Cuántos archivos adjuntos fueron enviados en el correo del 30 de junio de 2020?,General
202000000001096.pdf,¿Cuál es el tamaño en KB del archivo adjunto Anexo04-Ohio-convenio-DIG[F].pdf?,General
20200000000110.pdf,¿Cuál es el monto de la Rebaja de Certificación Presupuestal - CCP N° 276-2020 mencionada en el documento?,General
20200000000110.pdf,¿Qué documento se cita como referencia en la comunicación sobre la rebaja de certificación presupuestal?,General
202000000001101.pdf,¿Qué clasificador presupuestal se utilizó para las dos partidas mencionadas en el documento?,General
202000000001102.pdf,¿En qué fecha y hora fue emitida la certificación de crédito presupuestario con nota N° 0000000276?,General
20200000000112.pdf,¿Cuál es el número de expediente del documento firmado digitalmente por Irania Escalante Del Alamo?,General
20200000000112.pdf,¿En qué horario se realizará la charla virtual sobre el Portal de Transparencia Estándar según el documento?,General
20200000000112.pdf,¿Cuál es el correo electrónico de contacto del Instituto de Investigación de la Amazonía Peruana - IIAP?,General
20200000000112.pdf,¿Cuál es el asunto del oficio múltiple N° 00002-2020-MINAM/SG/OGDAC?,General
20200000000113.pdf,¿Qué enlace web se proporciona para llenar la encuesta nacional por el patrimonio según el documento?,General
20200000000118.pdf,¿Quién es el Director de la Dirección de Información y Gestión del Conocimiento - DIGC que firma el documento?,General
202000000001181.pdf,¿Cuál es el correo electrónico de contacto de la especialista Angélica Sauñe Ferrel según el documento?,General
202000000001181.pdf,¿En qué fecha se llevó a cabo la presentación de los avances del desarrollo del marco conceptual según el oficio?,General
202000000001181.pdf,¿Cuál es el correo electrónico del Presidente Ejecutivo del Instituto Geológico Minero y Metalúrgico - INGEMMET?,General
202000000001181.pdf,¿Quién es el Director General de Minería del Ministerio de Energía y Minas según el anexo N° 02?,General
20200000000127.pdf,¿Cuál es el número de la Orden de Servicio mencionada en el asunto del documento para el reconocimiento de gastos y costos?,General
20200000000127.pdf,¿A qué correo electrónico institucional debe enviarse la información solicitada según el documento?,General
20200000000129.pdf,¿Cuál es el rango de edad de los niños y niñas a quienes está dirigido el Programa de Voluntariado de Maqay?,General
20200000000129.pdf,¿A qué correos electrónicos solicitan remitir la información según la carta N° 005-2020-MAQAY?,General
20200000000135.pdf,¿Cuál es la dirección exacta del Ministerio del Ambiente mencionada en el documento?,General
20200000000136.pdf,¿Cuál es el número de proveído que aparece en el documento de la Oficina de Administración de INAIGEM?,General
20200000000136.pdf,¿Cuál es el asunto del expediente 2020-0000009 según el documento?,General
20200000000144.pdf,¿Quién es el Jefe de Oficina de la Oficina de Tecnologías de la Información - OTI según el documento?,General
20200000000144.pdf,¿Cuál es el número de teléfono de la sede ubicada en Jr. Juan Bautista Mejía Nro. 887 Huaraz - Ancash?,General
20200000000145.pdf,¿Quién es el Jefe de Oficina de la Oficina de Tecnologías de la Información - OTI según el documento?,General
20200000000145.pdf,¿Cuál es el código OTI que aparece en la parte inferior del documento?,General
20200000000147.pdf,¿Cuál es el número de Voucher de pago mencionado en la carta dirigida al INAIGEM con fecha 02 de agosto de 2020?,General
20200000000147.pdf,¿Cuál es el RUC de Gabriela Zecenarro Rojas indicado al final del documento?,General
202000000001471.pdf,¿Cuál es el número de RUC que aparece al final de la carta de autorización dirigida a LOGÍSTICA - INAIGEM?,General
202000000001472.pdf,¿Cuál es el número de Voucher de pago mencionado en la carta dirigida al INAIGEM con fecha 02 de agosto de 2020?,General
202000000001472.pdf,¿Cuál es el RUC de Gabriela Zecenarro Rojas indicado en el documento?,General
202000000001473.pdf,¿Cuál es el monto del tributo resultante que aparece en el recibo de pago con fecha 31/07/2020?,General
202000000001473.pdf,¿Cuál es el número de RUC del arrendador que aparece en el formulario 1683 para el periodo 08/2020?,General
20200000000150.pdf,¿Quién es el Asistente Administrativo que firma el informe remoto dirigido a la Presidencia Ejecutiva?,General
20200000000150.pdf,¿Cuál es el número telefónico de la sede ubicada en Jr. Juan Bautista Mejía Nro. 887 Huaraz - Ancash?,General
20200000000151.pdf,¿Quién es el Asistente Administrativo de la Presidencia Ejecutiva - PE según el documento?,General
20200000000151.pdf,¿Cuál es el asunto indicado en el memorando dirigido al Presidente Ejecutivo Hernando Jhonny Tavera Huarache?,General
20200000000152.pdf,¿Quién es el Jefe de Oficina de la Oficina de Tecnologías de la Información - OTI según el documento?,General
20200000000152.pdf,¿Cuál es el número de teléfono de la sede ubicada en Jr. Juan Bautista Mejía Nro. 887 Huaraz - Ancash?,General
20200000000154.pdf,"¿Quién desarrolló el servicio de limpieza, resguardo y vigilancia de las instalaciones del órgano desconcentrado macro región centro INAGEM - Lima en julio?",General
20200000000154.pdf,¿Cuál es el número de la carta de referencia mencionada en el documento sobre el servicio de limpieza y vigilancia?,General
202000000001541.pdf,¿Cuál es el monto contractual establecido en el formato de conformidad del servicio con número de orden 50000103?,General
202000000001541.pdf,¿Quién fue el jefe de la ODMRC-Lima que firmó el formato de conformidad del servicio emitido el 03/08/2020?,General
2020000000015410.pdf,¿Cuál es la fecha de presentación del formulario 1609 para suspensiones de 4ta categoría según el documento?,General
2020000000015410.pdf,¿Cuál es el número de expediente mostrado en el resultado de solicitud SUNAT del año 2020?,General
202000000001541413937.pdf,¿Cuál es el monto contractual especificado en el formato de conformidad del servicio con número de orden 50000103?,General
202000000001541413937.pdf,¿Quién es el jefe de la ODMRC-Lima que firma el documento de conformidad del servicio emitido el 03/08/2020?,General
202000000001542.pdf,¿Cuál es el sueldo básico mensual asignado según la boleta de pago del trabajador?,General
202000000001542.pdf,¿En qué departamento y provincia se encuentra ubicado el trabajador según la boleta de pago?,General
202000000001544.pdf,¿Cuál es el número de cuenta CCI del Banco Scotiabank que aparece en la carta de autorización del 31 de julio de 2020?,General
202000000001544.pdf,¿Cuál es el número de RUC que aparece en la carta de autorización dirigida al INAIGEM?,General
202000000001545.pdf,¿Cuál es el número de orden de servicio mencionado en la carta N° 06-2020-BE/RA?,General
202000000001545.pdf,¿Qué documentos se adjuntan según la carta dirigida al Instituto Nacional de Investigación en Glaciares y Ecosistemas de Montaña?,General
202000000001546.pdf,¿En qué fecha el Instituto Nacional de Investigación en Glaciares y Ecosistemas de Montaña notificó la Orden de Servicio N° S000103?,General
202000000001547.pdf,¿Qué medidas de bioseguridad se toman en cuenta para el rociado de alcohol en paredes y mesa según las observaciones del documento?,General
202000000001547.pdf,¿Cuál es el número de orden de servicio mencionado en las conclusiones del documento?,General
202000000001548.pdf,¿En qué dirección se encuentra ubicado el local institucional donde se realizarán los servicios según la orden?,General
202000000001548.pdf,¿Cuál es la dirección exacta del destinatario INAIGEM según la orden de servicio N°S000103?,General
202000000001549.pdf,¿Cuál es la dirección del domicilio indicada en el recibo para el Instituto Nacional de Investigación en Glaciares y Ecosistemas de Montaña?,General
20200000000156.pdf,¿Qué número de Decreto Legislativo regula el régimen especial de contratación administrativa de servicios en el INAIGEM?,General
20200000000156.pdf,¿Cuál es el número de Carta Circular mencionada como referencia en el documento?,General
20200000000157.pdf,¿Cuál es el monto de la Certificación Presupuestal CCP N° 331-2020 para la salida del equipo técnico del proyecto Pamf Bioglaciar?,General
20200000000157.pdf,¿Qué documento de referencia se menciona en el memorando sobre la Certificación Presupuestal CCP N° 331-2020?,General
202000000001571.pdf,¿Cuál es el número de documento de la certificación presupuestal emitida por INAIGEM el 30/07/2020?,General
202000000001572.pdf,¿En qué fecha se realizará la salida del equipo técnico según lo indicado en el informe?,General
202000000001573.pdf,¿Quién es el investigador principal del Proyecto Pant_BioGlaciar según el informe con fecha 24 de julio del 2020?,General
202000000001573.pdf,¿Cuál es el nombre del proyecto del cual Pedro Miguel Tapia Ormeño es investigador principal?,General
202000000001573.pdf,"¿En qué año fue declarado el ""Año de la Universalización de la salud"" según el encabezado del documento?",General
202000000001574.pdf,¿Cuál es el número de DNI que aparece en la parte superior del documento?,General
202000000001574.pdf,¿A qué número de documento PDF corresponde esta primera página?,General
202000000001574.pdf,¿En qué fecha y hora inició la comisión de servicios para el recojo de equipos en la Marina de Guerra?,General
202000000001575.pdf,¿En qué fecha y hora está programado el inicio de la comisión según el detalle del documento?,General
202000000001576.pdf,¿Cuál fue el motivo de la comisión según el documento para la salida a la ciudad de Lima?,General
20200000000158.pdf,¿Cuál es el número de RUC de la proveedora Zecenario Rojas Gabriela que prestó el servicio de arrendamiento según el informe de conformidad?,General
20200000000160.pdf,¿Cuál es el número de proveído del documento emitido por la OPPM-GG-INAIGEM en 2020?,General
20200000000160.pdf,¿Cuál es el asunto del expediente OPPM-G202000000011 con fecha 03/08/2020?,General
202000000001601.pdf,¿Cuáles son los 14 tipos de peligros listados en el documento del Ministerio del Ambiente del Perú?,General
202000000001601.pdf,¿Qué columnas sería bueno agregar dentro de la matriz de involucrados según el documento?,General
202000000001601.pdf,¿Cuál es el cargo que ocupa el Dr. José Herrera Quispe según la firma del documento?,General
202000000001601.pdf,¿Cuál es la dirección física del INAIGEM que aparece en el membrete inferior del documento?,General
20200000000161.pdf,¿Cuál es el número de RUC de la proveedora Zecenarro Rojas Gabriela según el documento?,General
202000000001611.pdf,¿Cuál fue el monto contratado para el servicio de arrendamiento del inmueble según la Orden de Servicio S000077?,General
202000000001611.pdf,¿En qué fecha se emitió la Orden de Servicio para el arrendamiento del inmueble de la Oficina Desconcentrada Macro Región Sur en Cusco?,General
20200000000161119549038.pdf,¿Cuál fue el monto contratado para el servicio de arrendamiento del inmueble según la Orden de Servicio S000077?,General
20200000000161119549038.pdf,¿En qué fecha se emitió la Orden de Servicio para el arrendamiento del inmueble de la Oficina Desconcentrada Macro Región Sur del INAGEM en Cusco?,General
202000000001621.pdf,¿Cuál es el número de RUC del proveedor AGA QUIMICA SOCIEDAD ANONIMA?,General
202000000001621.pdf,¿Cuál es el número de certificado que aparece en la Nota de Ingreso Almacén N° C000021?,General
202000000001621.pdf,¿Cuál es el plazo de entrega establecido en la nota de ingreso almacén C0000021?,General
202000000001621.pdf,¿Cuál es el RUC del proveedor AQA QUIMICA SOCIEDAD ANONIMA según la nota de ingreso?,General
202000000001622.pdf,"¿Cuál es el valor total en soles del juego de reactivos de manganeso bajo rango, PAN, 10 ML solicitado en el pedido?",General
202000000001622.pdf,"¿Cuántas unidades de almohadillas de reactivo en polvo de cobre cuver 1 10 ML, PAQ. 100 fueron solicitadas en el comprobante de salida?",General
202000000001623.pdf,¿Cuál fue el monto contratado para la adquisición de reactivos según la orden de compra N°C000021?,General
202000000001623.pdf,¿Qué área usuaria solicitó la conformidad de bienes según el formato del 25/07/2020?,General
20200000000164.pdf,¿Cuál es el monto aprobado en la Ampliación de Certificación Presupuestal - CCP N° 070-2020 para el pago de bonos a los investigadores del proyecto sobre lagunas de origen glaciar?,General
20200000000164.pdf,¿Qué documento de referencia se menciona en el memorándum sobre la ampliación de certificación presupuestal?,General
202000000001641.pdf,¿En qué fecha y hora fue emitido el documento de certificación de crédito presupuestario del INAIGEM?,General
202000000001642.pdf,¿Cuál es el monto en soles indicado para el pago de bonos a los Co investigadores del Proyecto GLOP según el memorando N° 238-2020-INAIGEM/PE-DIG?,General
202000000001642.pdf,"¿Quién es el jefe de la Oficina de Planeamiento, Presupuesto y Modernización al que va dirigido el memorando N° 238-2020-INAIGEM/PE-DIG?",General
202000000001643.pdf,¿Cuál es el número de DNI del Co-Investigador Torres Lázaro Juan Carlos según el informe?,General
20200000000166.pdf,¿En qué fecha fue enviado el correo electrónico mencionado en la referencia del documento?,General
20200000000166.pdf,¿Cuál es el cargo y la oficina a la que pertenece Julio Cesar Ramos Aquije según el documento?,General
20200000000170.pdf,¿Cuál es el número de proveído mencionado en el documento de la Oficina Desconcentrada Macro Región Sur - Cusco?,General
20200000000170.pdf,¿Qué especialidad tiene Angela Maria Mendoza Ato según el documento?,General
20200000000170.pdf,¿Quién es el especialista en Biología de la Oficina Desconcentrada Macro Región Sur - Cusco - ODMRS que firma el documento?,General
202000000001702.pdf,¿Cuál fue el monto contratado para el servicio de elaboración de mapas y gestión de datos de la cuenca Huari Huari en la región Puno?,General
202000000001702.pdf,¿Cuál es el número de documento de identidad del contratista Joshua Jonatan Castro Camacho según el formato de conformidad del servicio?,General
2020000000017023791437.pdf,¿Cuál fue el monto contratado para el servicio de elaboración de mapas y gestión de datos de la cuenca Huari Huari en la región Puno?,General
2020000000017023791437.pdf,¿En qué fecha se emitió la orden de servicio para la elaboración de mapas de la cuenca Huari Huari en la cordillera Apolobamba?,General
202000000001703.pdf,¿Cuál es el número de proveído del expediente ODMRS-2020000001 emitido por la Oficina Desconcentrada Macro Región Sur - Cusco?,General
202000000001703.pdf,"¿Qué servicio se menciona en el asunto del expediente relacionado a la cuenca Huari Huari, Cordillera?",General
20200000000175.pdf,¿Cuál fue el número total de horas de jornada laboral completadas por Padilla Herrera Dean según el informe?,General
20200000000175.pdf,¿Quién era el jefe de la Oficina de Tecnologías de la Información - OTI que emitió este informe en julio de 2020?,General
20200000000177.pdf,¿Quién es el Jefe de Oficina de la Oficina de Tecnologías de la Información - OTI según el documento?,General
20200000000177.pdf,¿Cuál es el número de teléfono de la sede ubicada en Jr. Juan Bautista Mejía Nro. 887 Huaraz - Ancash - Perú?,General
20200000000181.pdf,¿Cuál es el número de control SIAF del servicio de generación de una base de datos del inventario de glaciares y lagunas adecuada a los datos políticos de departamento en el ámbito nacional?,General
20200000000181.pdf,¿Qué número de orden de servicio y fecha corresponde al servicio de automatización de reportes de características de los glaciares y lagunas?,General
20200000000186.pdf,¿Cuál es el número de proveído del documento emitido por la OPPM-GG-INAIGEM en 2020?,General
